,HMI_214_DL,振动风选_1#振动X,振动风选_1#振动Y,振动风选_1#振动Z,振动风选_2#振动X,振动风选_2#振动Y,振动风选_2#振动Z,振动风选_3#振动X,振动风选_3#振动Y,振动风选_3#振动Z,振动风选_4#振动X,振动风选_4#振动Y,振动风选_4#振动Z,振动风选_5#振动X,振动风选_5#振动Y,振动风选_5#振动Z
156,14.22,-4.3908,,,,,,,,,,,,,,
157,14.22,-4.6983,-5.022,-5.1865,-4.3583,-5.2372,-5.6025,-8.0819,-8.8975,-10.8922,-3.3871,-3.9459,-2.9169,-5.6802,,-4.9677
158,14.23,-4.7489,-4.9569,-5.1974,-4.3872,,-5.6296,-8.1379,-8.9987,-11.1291,-3.5246,-4.0472,-3.011,-5.5229,,-4.6964
159,14.23,-4.8176,,,,,,,,,,,,,,
160,14.23,-4.7127,,,,,,,,,,,,,,
161,14.23,-4.767,-5.1594,-5.2082,-4.4216,-5.3348,-5.6893,-7.845,-9.1181,-9.4436,-4.7887,-4.1376,-3.9622,-4.0508,49.9204,-4.9026
162,14.23,-4.7832,,-5.2118,-4.3763,-5.2607,-5.5989,-7.8648,-8.959,-10.4636,-3.7542,-4.0707,-3.3853,-5.7001,,-5.5609
163,14.23,-4.7037,-4.9659,-5.0672,-4.2299,-5.0437,-5.3818,-7.3024,-8.6172,-8.5267,-5.2824,-4.1304,-4.0581,-4.8339,37.0967,-6.0962
164,14.23,-4.436,-4.7597,-4.8502,-4.1865,-5.0853,-5.3981,-7.2898,-8.6099,-7.4977,-5.7851,-4.0092,-4.3384,-2.6529,7.4183,-4.7326
165,14.23,-4.8013,,,,,,,,,,,,,,
166,14.25,-4.8447,-5.0093,-5.2426,-4.4161,-5.3167,-5.6368,-8.2338,-9.0132,-11.2756,-2.982,-3.9803,-2.7795,-5.6405,,-4.3257
167,14.25,-4.5771,,,,,,,,,,,,,,
168,14.25,-4.6114,-5.0256,-5.0147,-4.172,-5.0039,-5.3113,-7.1523,-8.5665,-7.6207,-5.9425,-4.1648,-4.4161,-3.6855,33.0512,-5.371
169,14.25,-4.6548,-5.0907,-5.1739,-4.3528,-5.2317,-5.5735,-7.8884,-8.9065,-9.6516,-4.427,-4.0635,-3.6168,-6.2137,,-6.4072
170,14.25,-4.5934,,,,,,,,,,,,,,
171,14.25,-4.6494,-5.0654,-5.0636,-4.2678,-5.1106,-5.3764,-7.3097,-8.6081,-8.4906,-5.5934,-4.1575,-4.2335,-4.7236,47.3416,-6.5664
172,14.25,-4.6621,-5.0111,-5.1196,-4.3384,-5.2372,-5.5591,-7.7274,-8.9626,-8.5032,-5.3131,-4.0888,-4.125,-3.3528,35.2304,-4.7525
173,14.25,-4.6765,-5.0075,-5.1829,-4.3619,-5.2372,-5.5699,-7.6949,-8.8649,-9.8578,-4.1467,-4.0707,-3.6059,-5.3059,,-5.3873
174,14.22,-4.6096,-5.0599,-5.1088,-4.3366,-5.1938,-5.5157,-7.6605,-8.7853,-9.8758,-4.0906,-3.993,-3.5119,-6.5212,,-6.3693
175,14.22,-4.5409,-4.899,-4.8863,-4.1304,-5.0853,-5.4144,-7.3386,-8.6461,-7.6424,-5.8719,-4.163,-4.5463,-3.8284,27.3709,-6.107
176,14.22,-4.8176,,,,,,,,,,,,,,
